ano,mes,sexo,faixa_etaria,categoria,total_vendido
2014,1,1,ADULTO_TRABALHADOR,ANSIOLITICO,77460
2014,1,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,71200
2014,1,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,33202
2014,1,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,34866
2014,1,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,33239
2014,1,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,17688
2014,1,1,IDOSO,ANSIOLITICO,39075
2014,1,1,IDOSO,ANTIDEPRESSIVO,27341
2014,1,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,11691
2014,1,1,JOVEM_ADULTO,ANSIOLITICO,4474
2014,1,1,JOVEM_ADULTO,ANTIDEPRESSIVO,4588
2014,1,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,3332
2014,1,2,ADULTO_TRABALHADOR,ANSIOLITICO,118602
2014,1,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,112474
2014,1,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,33000
2014,1,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,25711
2014,1,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29158
2014,1,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9798
2014,1,2,IDOSO,ANSIOLITICO,64558
2014,1,2,IDOSO,ANTIDEPRESSIVO,44666
2014,1,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,13045
2014,1,2,JOVEM_ADULTO,ANSIOLITICO,6359
2014,1,2,JOVEM_ADULTO,ANTIDEPRESSIVO,6656
2014,1,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2619
2014,2,1,ADULTO_TRABALHADOR,ANSIOLITICO,74441
2014,2,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,70035
2014,2,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,32190
2014,2,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,32832
2014,2,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30949
2014,2,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,16184
2014,2,1,IDOSO,ANSIOLITICO,37083
2014,2,1,IDOSO,ANTIDEPRESSIVO,25249
2014,2,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,10470
2014,2,1,JOVEM_ADULTO,ANSIOLITICO,3929
2014,2,1,JOVEM_ADULTO,ANTIDEPRESSIVO,4257
2014,2,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2905
2014,2,2,ADULTO_TRABALHADOR,ANSIOLITICO,114439
2014,2,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,108411
2014,2,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,30560
2014,2,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,26328
2014,2,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29434
2014,2,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9227
2014,2,2,IDOSO,ANSIOLITICO,62049
2014,2,2,IDOSO,ANTIDEPRESSIVO,42167
2014,2,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,11883
2014,2,2,JOVEM_ADULTO,ANSIOLITICO,5523
2014,2,2,JOVEM_ADULTO,ANTIDEPRESSIVO,6217
2014,2,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2349
2014,3,1,ADULTO_TRABALHADOR,ANSIOLITICO,77690
2014,3,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,73305
2014,3,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,33595
2014,3,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,34252
2014,3,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,32123
2014,3,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,17516
2014,3,1,IDOSO,ANSIOLITICO,37338
2014,3,1,IDOSO,ANTIDEPRESSIVO,25767
2014,3,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,10960
2014,3,1,JOVEM_ADULTO,ANSIOLITICO,4514
2014,3,1,JOVEM_ADULTO,ANTIDEPRESSIVO,4554
2014,3,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2987
2014,3,2,ADULTO_TRABALHADOR,ANSIOLITICO,121730
2014,3,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,114983
2014,3,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,34453
2014,3,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,26302
2014,3,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29745
2014,3,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9579
2014,3,2,IDOSO,ANSIOLITICO,62186
2014,3,2,IDOSO,ANTIDEPRESSIVO,42870
2014,3,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,12517
2014,3,2,JOVEM_ADULTO,ANSIOLITICO,5673
2014,3,2,JOVEM_ADULTO,ANTIDEPRESSIVO,6682
2014,3,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2606
2014,4,1,ADULTO_TRABALHADOR,ANSIOLITICO,78875
2014,4,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,73014
2014,4,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,34457
2014,4,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,36199
2014,4,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,34731
2014,4,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,18673
2014,4,1,IDOSO,ANSIOLITICO,36772
2014,4,1,IDOSO,ANTIDEPRESSIVO,25114
2014,4,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,11181
2014,4,1,JOVEM_ADULTO,ANSIOLITICO,4022
2014,4,1,JOVEM_ADULTO,ANTIDEPRESSIVO,4411
2014,4,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,3289
2014,4,2,ADULTO_TRABALHADOR,ANSIOLITICO,120629
2014,4,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,113954
2014,4,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,33734
2014,4,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,27162
2014,4,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29907
2014,4,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,10050
2014,4,2,IDOSO,ANSIOLITICO,62490
2014,4,2,IDOSO,ANTIDEPRESSIVO,41504
2014,4,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,12707
2014,4,2,JOVEM_ADULTO,ANSIOLITICO,5429
2014,4,2,JOVEM_ADULTO,ANTIDEPRESSIVO,6512
2014,4,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2331
2014,5,1,ADULTO_TRABALHADOR,ANSIOLITICO,73924
2014,5,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,64488
2014,5,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,31264
2014,5,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,35627
2014,5,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,34263
2014,5,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,17743
2014,5,1,IDOSO,ANSIOLITICO,34183
2014,5,1,IDOSO,ANTIDEPRESSIVO,21914
2014,5,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,9674
2014,5,1,JOVEM_ADULTO,ANSIOLITICO,3725
2014,5,1,JOVEM_ADULTO,ANTIDEPRESSIVO,3969
2014,5,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,3100
2014,5,2,ADULTO_TRABALHADOR,ANSIOLITICO,117037
2014,5,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,103430
2014,5,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,32620
2014,5,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,28705
2014,5,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,31573
2014,5,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,10359
2014,5,2,IDOSO,ANSIOLITICO,57463
2014,5,2,IDOSO,ANTIDEPRESSIVO,36257
2014,5,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,11357
2014,5,2,JOVEM_ADULTO,ANSIOLITICO,5430
2014,5,2,JOVEM_ADULTO,ANTIDEPRESSIVO,6209
2014,5,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2592
2014,6,1,ADULTO_TRABALHADOR,ANSIOLITICO,60295
2014,6,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,51206
2014,6,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,25464
2014,6,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,32373
2014,6,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29906
2014,6,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,16397
2014,6,1,IDOSO,ANSIOLITICO,27758
2014,6,1,IDOSO,ANTIDEPRESSIVO,16990
2014,6,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,7659
2014,6,1,JOVEM_ADULTO,ANSIOLITICO,3643
2014,6,1,JOVEM_ADULTO,ANTIDEPRESSIVO,3290
2014,6,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2686
2014,6,2,ADULTO_TRABALHADOR,ANSIOLITICO,100149
2014,6,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,86704
2014,6,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,26658
2014,6,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,26065
2014,6,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,28268
2014,6,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9187
2014,6,2,IDOSO,ANSIOLITICO,48872
2014,6,2,IDOSO,ANTIDEPRESSIVO,30555
2014,6,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,9490
2014,6,2,JOVEM_ADULTO,ANSIOLITICO,5139
2014,6,2,JOVEM_ADULTO,ANTIDEPRESSIVO,5111
2014,6,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2048
2014,7,1,ADULTO_TRABALHADOR,ANSIOLITICO,59170
2014,7,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,48500
2014,7,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,25472
2014,7,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,35846
2014,7,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,32568
2014,7,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,17428
2014,7,1,IDOSO,ANSIOLITICO,27537
2014,7,1,IDOSO,ANTIDEPRESSIVO,16226
2014,7,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8017
2014,7,1,JOVEM_ADULTO,ANSIOLITICO,3449
2014,7,1,JOVEM_ADULTO,ANTIDEPRESSIVO,3166
2014,7,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2597
2014,7,2,ADULTO_TRABALHADOR,ANSIOLITICO,103102
2014,7,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,88084
2014,7,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,26994
2014,7,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,28694
2014,7,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30668
2014,7,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,10325
2014,7,2,IDOSO,ANSIOLITICO,50053
2014,7,2,IDOSO,ANTIDEPRESSIVO,31902
2014,7,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,10145
2014,7,2,JOVEM_ADULTO,ANSIOLITICO,4913
2014,7,2,JOVEM_ADULTO,ANTIDEPRESSIVO,5411
2014,7,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2332
2014,8,1,ADULTO_TRABALHADOR,ANSIOLITICO,51017
2014,8,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,41424
2014,8,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,21186
2014,8,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,32061
2014,8,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30426
2014,8,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,15926
2014,8,1,IDOSO,ANSIOLITICO,23391
2014,8,1,IDOSO,ANTIDEPRESSIVO,13894
2014,8,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,6781
2014,8,1,JOVEM_ADULTO,ANSIOLITICO,3033
2014,8,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2750
2014,8,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2363
2014,8,2,ADULTO_TRABALHADOR,ANSIOLITICO,93338
2014,8,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,81175
2014,8,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,24342
2014,8,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,25966
2014,8,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29757
2014,8,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9415
2014,8,2,IDOSO,ANSIOLITICO,45897
2014,8,2,IDOSO,ANTIDEPRESSIVO,28643
2014,8,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8765
2014,8,2,JOVEM_ADULTO,ANSIOLITICO,5041
2014,8,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4882
2014,8,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2198
2014,9,1,ADULTO_TRABALHADOR,ANSIOLITICO,46756
2014,9,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,39060
2014,9,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,19928
2014,9,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,33245
2014,9,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30574
2014,9,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,15722
2014,9,1,IDOSO,ANSIOLITICO,21579
2014,9,1,IDOSO,ANTIDEPRESSIVO,13243
2014,9,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,6318
2014,9,1,JOVEM_ADULTO,ANSIOLITICO,2737
2014,9,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2765
2014,9,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2241
2014,9,2,ADULTO_TRABALHADOR,ANSIOLITICO,89787
2014,9,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,78455
2014,9,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,22640
2014,9,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,26431
2014,9,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30319
2014,9,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9890
2014,9,2,IDOSO,ANSIOLITICO,43717
2014,9,2,IDOSO,ANTIDEPRESSIVO,27811
2014,9,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8768
2014,9,2,JOVEM_ADULTO,ANSIOLITICO,4373
2014,9,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4806
2014,9,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1984
2014,10,1,ADULTO_TRABALHADOR,ANSIOLITICO,47487
2014,10,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,40823
2014,10,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,20531
2014,10,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,33273
2014,10,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,32581
2014,10,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,15814
2014,10,1,IDOSO,ANSIOLITICO,21754
2014,10,1,IDOSO,ANTIDEPRESSIVO,13346
2014,10,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,6157
2014,10,1,JOVEM_ADULTO,ANSIOLITICO,2697
2014,10,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2730
2014,10,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2286
2014,10,2,ADULTO_TRABALHADOR,ANSIOLITICO,89026
2014,10,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,81826
2014,10,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,23855
2014,10,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,27124
2014,10,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30702
2014,10,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9312
2014,10,2,IDOSO,ANSIOLITICO,42826
2014,10,2,IDOSO,ANTIDEPRESSIVO,28262
2014,10,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8699
2014,10,2,JOVEM_ADULTO,ANSIOLITICO,4222
2014,10,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4721
2014,10,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1951
2014,11,1,ADULTO_TRABALHADOR,ANSIOLITICO,44307
2014,11,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,37320
2014,11,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,18920
2014,11,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,31925
2014,11,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,31345
2014,11,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,15395
2014,11,1,IDOSO,ANSIOLITICO,19923
2014,11,1,IDOSO,ANTIDEPRESSIVO,12522
2014,11,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,5935
2014,11,1,JOVEM_ADULTO,ANSIOLITICO,2913
2014,11,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2680
2014,11,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2142
2014,11,2,ADULTO_TRABALHADOR,ANSIOLITICO,83808
2014,11,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,75736
2014,11,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,22408
2014,11,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,26121
2014,11,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30532
2014,11,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,448150
2014,11,2,IDOSO,ANSIOLITICO,40146
2014,11,2,IDOSO,ANTIDEPRESSIVO,26989
2014,11,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8318
2014,11,2,JOVEM_ADULTO,ANSIOLITICO,4279
2014,11,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4557
2014,11,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1879
2014,12,1,ADULTO_TRABALHADOR,ANSIOLITICO,46464
2014,12,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,39968
2014,12,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,20751
2014,12,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,35053
2014,12,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,33678
2014,12,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,17267
2014,12,1,IDOSO,ANSIOLITICO,20462
2014,12,1,IDOSO,ANTIDEPRESSIVO,12654
2014,12,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,6178
2014,12,1,JOVEM_ADULTO,ANSIOLITICO,3102
2014,12,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2649
2014,12,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2259
2014,12,2,ADULTO_TRABALHADOR,ANSIOLITICO,87900
2014,12,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,80659
2014,12,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,24322
2014,12,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,27985
2014,12,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,34277
2014,12,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,10755
2014,12,2,IDOSO,ANSIOLITICO,42558
2014,12,2,IDOSO,ANTIDEPRESSIVO,28637
2014,12,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8810
2014,12,2,JOVEM_ADULTO,ANSIOLITICO,4864
2014,12,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4688
2014,12,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2022
2015,1,1,ADULTO_TRABALHADOR,ANSIOLITICO,40203
2015,1,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,34700
2015,1,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,18970
2015,1,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,31761
2015,1,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30792
2015,1,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,15724
2015,1,1,IDOSO,ANSIOLITICO,19476
2015,1,1,IDOSO,ANTIDEPRESSIVO,12569
2015,1,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,5995
2015,1,1,JOVEM_ADULTO,ANSIOLITICO,2777
2015,1,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2262
2015,1,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1952
2015,1,2,ADULTO_TRABALHADOR,ANSIOLITICO,77617
2015,1,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,70963
2015,1,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,21928
2015,1,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,24241
2015,1,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,28671
2015,1,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9728
2015,1,2,IDOSO,ANSIOLITICO,39759
2015,1,2,IDOSO,ANTIDEPRESSIVO,26695
2015,1,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8223
2015,1,2,JOVEM_ADULTO,ANSIOLITICO,4495
2015,1,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4266
2015,1,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1718
2015,2,1,ADULTO_TRABALHADOR,ANSIOLITICO,37025
2015,2,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,31871
2015,2,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,16809
2015,2,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,30591
2015,2,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29447
2015,2,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,14762
2015,2,1,IDOSO,ANSIOLITICO,17443
2015,2,1,IDOSO,ANTIDEPRESSIVO,10687
2015,2,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,5177
2015,2,1,JOVEM_ADULTO,ANSIOLITICO,2492
2015,2,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2169
2015,2,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1895
2015,2,2,ADULTO_TRABALHADOR,ANSIOLITICO,72378
2015,2,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,66562
2015,2,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,20169
2015,2,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,24442
2015,2,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,28346
2015,2,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,8968
2015,2,2,IDOSO,ANSIOLITICO,36131
2015,2,2,IDOSO,ANTIDEPRESSIVO,24177
2015,2,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,7456
2015,2,2,JOVEM_ADULTO,ANSIOLITICO,4191
2015,2,2,JOVEM_ADULTO,ANTIDEPRESSIVO,3674
